Name,Year,Rating
Dhoom: 3,2013,5.7
Talaash,2012,7.4
Dhobi Ghat (Mumbai Diaries),2010,7.2
3 Idiots,2009,8.5
Ghajini,2008,7.3
Taare Zameen Par,2007,8.5
Fanaa,2006,7.2
Rang De Basanti,2006,8.5
The Rising: Ballad of Mangal Pandey,2005,6.7
Dil Chahta Hai,2001,8.5
Lagaan: Once Upon a Time in India,2001,8.3
Mela,2000,3.7
Mann,1999,6.1
Sarfarosh,1999,8.0
Earth,1998,7.8
Ghulam,1998,7.4
Ishq,1997,6.9
Raja Hindustani,1996,6.1
Akele Hum Akele Tum,1995,7.1
Rangeela,1995,7.6
Aatank Hi Aatank,1995,5.6
Baazi,1995,6.6
Andaz Apna Apna,1994,8.8
Hum Hain Rahi Pyar Ke,1993,7.6
Daulat Ki Jung,1992,6.0
Isi Ka Naam Zindagi,1992,6.1
Jo Jeeta Wohi Sikandar,1992,8.3
Parampara,1992,5.9
Dil Hai Ki Manta Nahin,1991,7.4
Afsana Pyar Ka,1991,6.3
Awwal Number,1990,5.5
Deewana Mujh Sa Nahin,1990,6.2
Jawani Zindabad,1990,5.9
Dil,1990,6.9
Tum Mere Ho,1990,5.5
Love Love Love,1989,6.0
Raakh,1989,7.8
Qayamat Se Qayamat Tak,1988,7.7
Holi,1985,7.6
Madhosh,1974,6.4
Yaadon Ki Baaraat,1973,7.4
